id,cnt_airlines,cnt_entertainment,cnt_auto_rentals,cnt_vehicles,cnt_business_serv,cnt_clothing_stores,cnt_contracted_serv,cnt_direct_marketing,cnt_govt_serv,cnt_hotel,cnt_misc,cnt_personal_serv_prov,cnt_repair_serv,cnt_retail_stores,cnt_service_prov,cnt_transport,cnt_utilities,cnt_wholesale_distributor,tot_tran_cnt,amt_airlines,amt_entertainment,amt_auto_rentals,amt_vehicles,amt_business_serv,amt_clothing_stores,amt_contracted_serv,amt_direct_marketing,amt_govt_serv,amt_hotel,amt_misc,amt_personal_serv_prov,amt_repair_serv,amt_retail_stores,amt_service_prov,amt_transport,amt_utilities,amt_wholesale_distributor,tot_tran_amt,payment
1,0,1,0,1,0,1,0,0,1,1,4,1,0,4,0,1,1,0,16,13,5,7,6,2,13,0,2,8,21,35,12,1,21,6,8,7,1,168,168
3,0,1,0,1,0,1,0,0,1,1,4,1,0,3,0,1,1,0,15,190,74,92,83,26,178,5,26,116,301,495,171,12,294,83,111,102,12,2371,2371
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1358251927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1358251927,679125963.3
5,0,1,0,1,0,2,0,1,1,1,5,1,0,5,0,1,1,0,20,9,3,4,4,1,8,0,1,5,14,22,8,1,13,4,5,5,1,108,108
7,0,1,0,1,0,1,0,0,1,1,4,1,0,3,0,1,1,0,15,2069,802,1009,905,285,1939,52,285,1267,3284,5404,1862,129,3206,905,1215,1112,129,25859,25859
8,0,0,0,0,0,1,0,0,0,1,2,0,0,2,0,1,0,0,7,1868,724,911,817,257,1751,47,257,1144,2965,4880,1681,117,2895,817,1098,1004,117,23350,11675
9,0,1,0,1,0,1,0,0,1,1,4,1,0,3,0,1,1,0,15,10,4,5,4,1,9,0,1,6,15,25,9,1,15,4,6,5,1,121,121
10,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,20,8,10,9,3,19,1,3,12,32,52,18,1,31,9,12,11,1,252,126
11,0,1,0,1,0,1,0,0,1,1,4,1,0,4,0,1,1,0,16,519,201,253,227,71,486,13,71,318,823,1355,467,33,804,227,305,279,33,6485,1621.25
12,0,0,0,0,0,1,0,0,0,1,3,1,0,2,0,1,0,0,9,18,7,9,8,3,17,1,3,11,29,48,16,1,28,8,11,10,1,229,229
13,0,1,0,0,0,1,0,0,1,1,3,1,0,3,0,1,1,0,13,1721,667,839,753,237,1613,43,237,1054,2732,4495,1549,108,2667,753,1011,925,108,21512,21512
14,0,1,0,1,0,1,0,0,1,1,3,1,0,3,0,1,1,0,14,23,9,11,10,3,21,1,3,14,36,59,20,2,35,10,13,12,2,284,284
15,0,1,0,1,0,1,0,0,1,1,4,1,0,3,0,1,1,0,15,11,4,5,5,2,10,0,2,7,17,27,10,1,16,5,6,6,1,135,67.5
16,0,1,0,0,0,1,0,0,1,1,3,1,0,3,0,1,1,0,13,4281,1659,2087,1873,589,4013,107,589,2622,6796,11183,3853,268,6635,1873,2515,2301,268,53512,26756
18,0,0,0,0,0,1,0,0,0,1,2,0,0,2,0,0,0,0,6,778,301,379,340,107,729,20,107,476,1235,2032,700,49,1205,340,457,418,49,9722,4861
19,0,1,0,1,0,1,0,0,1,1,3,1,0,3,0,1,1,0,14,698,270,340,305,96,654,18,96,427,1108,1823,628,44,1082,305,410,375,44,8723,8723
20,0,1,0,1,0,2,0,1,1,1,5,1,0,5,0,1,1,0,20,100,39,49,44,14,94,3,14,61,159,262,90,6,155,44,59,54,6,1253,62.65
23,0,1,0,0,0,1,0,0,1,1,3,1,0,3,0,1,1,0,13,3058,1185,1491,1338,421,2867,77,421,1873,4855,7990,2753,191,4741,1338,1797,1644,191,38231,1911.55
24,0,1,0,1,0,2,0,1,1,1,5,1,0,5,0,1,1,0,20,102,40,50,45,14,96,3,14,63,162,267,92,6,158,45,60,55,6,1278,1278
25,0,0,0,0,0,1,0,0,1,1,3,1,0,2,0,1,1,0,11,7623,2954,3716,3335,1048,7147,191,1048,4669,12102,19916,6861,477,11816,3335,4479,4098,477,95292,95292
27,0,1,0,0,0,1,0,0,1,1,3,1,0,3,0,1,1,0,13,39,15,19,17,5,36,1,5,24,62,101,35,3,60,17,23,21,3,486,486
28,0,1,0,1,0,1,0,0,1,1,4,1,0,3,0,1,1,0,15,4392,1702,2141,1922,604,4118,110,604,2690,6972,11474,3953,275,6808,1922,2580,2361,275,54903,54903
30,0,0,0,0,0,1,0,0,0,1,3,1,0,2,0,1,0,0,9,13,5,6,6,2,12,0,2,8,20,34,12,1,20,6,8,7,1,163,24.45
31,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0,348,17.4
32,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,5,207,80,101,91,29,194,5,29,127,329,541,186,13,321,91,122,111,13,2590,647.5
33,0,1,0,1,0,1,0,0,1,1,4,1,0,3,0,1,1,0,15,4068,1577,1983,1780,559,3814,102,559,2492,6458,10628,3661,254,6306,1780,2390,2187,254,50852,25426
34,0,1,0,1,0,1,0,0,1,1,4,1,0,4,0,1,1,0,16,1034,401,504,452,142,969,26,142,633,1641,2701,930,65,1602,452,607,556,65,12922,12922
35,0,1,0,1,0,2,0,1,1,2,6,1,0,6,0,1,1,0,23,126,49,61,55,17,118,3,17,77,199,328,113,8,195,55,74,68,8,1571,785.5
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,1,0,1,0,1,0,0,1,1,4,1,0,4,0,1,1,0,16,767,297,374,335,105,719,19,105,470,1217,2003,690,48,1188,335,450,412,48,9582,9582
38,0,1,0,1,0,1,0,0,1,1,4,1,0,3,0,1,1,0,15,752,292,367,329,104,705,19,104,461,1194,1965,677,47,1166,329,442,404,47,9404,9404
39,0,1,0,1,0,2,0,0,1,1,5,1,0,4,0,1,1,0,18,20,8,10,9,3,19,1,3,12,31,52,18,1,31,9,12,11,1,251,251
41,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,5,16,6,8,7,2,15,0,2,10,25,41,14,1,25,7,9,9,1,198,198
42,0,1,0,0,0,1,0,0,1,1,3,1,0,3,0,1,1,0,13,183,71,89,80,25,172,5,25,112,291,479,165,12,284,80,108,99,12,2292,2292
43,0,1,0,1,0,2,0,1,1,1,6,1,0,5,0,1,1,0,21,364,141,177,159,50,341,9,50,223,577,950,327,23,564,159,214,196,23,4547,4547
45,0,1,0,1,0,1,0,0,1,1,4,1,0,3,0,1,1,0,15,3494,1354,1703,1529,481,3276,87,481,2140,5547,9128,3145,218,5416,1529,2053,1878,218,43677,21838.5
46,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,5,92,36,45,40,13,86,2,13,56,145,239,83,6,142,40,54,49,6,1147,1147
47,0,1,0,0,0,1,0,0,1,1,3,1,0,3,0,1,1,0,13,3985,1544,1943,1744,548,3736,100,548,2441,6326,10411,3587,249,6177,1744,2341,2142,249,49815,49815
48,0,1,0,1,0,1,0,0,1,1,3,1,0,3,0,1,1,0,14,31,12,15,13,4,29,1,4,19,48,80,27,2,47,13,18,16,2,381,381
